model, strategy,latency_ttfb,latency_full,tokens_in,tokens_out,cost
gpt-4o,Zero-Shot,2.041,3.5842,98,107,0.00132
gemini-2.0-flash,Zero-Shot,1.3233,3.2882,101,253,0.000112
command-a-03-2025,Zero-Shot,0.8172,10.7307,98,180,0.002045
gpt-4o,Few-Shot,1.9729,3.126,113,58,0.000862
gemini-2.0-flash,Few-Shot,0.7832,2.5296,116,200,9.2e-05
command-a-03-2025,Few-Shot,0.4805,3.1698,113,104,0.00133
gpt-4o,Structured,1.0615,5.5199,120,163,0.001933
gemini-2.0-flash,Structured,0.8213,4.1304,123,418,0.00018
command-a-03-2025,Structured,0.516,4.7432,120,125,0.001553
llama3,Zero-Shot,20.5262,74.4574,101,242,0.0
llama3,Few-Shot,19.583,76.7147,116,231,0.0
llama3,Structured,19.8073,91.3219,118,277,0.0
